1415	n	I don't like it when mathematicians who know much more than I do can't express themselves explicitly.	Ich mag es nicht, wenn Mathematiker, die viel mehr wissen als ich, sich nicht klar ausdrücken können.	Ich mag es nicht, wenn Mathematiker, die viel mehr wissen als ich, sich nicht deutlich ausdrücken können.	Ich mag es nicht, wenn Mathematiker, die viel mehr als ich wissen, sich nicht genau ausdrücken können.	I don't like it when mathematicians, who know much more than I do, can't express themselves clearly.	I don't like it when mathematicians, who know much more than I do, can't express themselves clearly.	YES	YES
1502	n	I wish I could care more about my grades but it seems that, at a certain point of my life, I decided they wouldn't be so important anymore.	Ich wünschte, ich könnte mir mehr um meine Noten Sorgen machen, aber es scheint, dass ich an einem bestimmten Punkt in meinem Leben entschieden habe, dass sie nicht mehr so wichtig sein würden.	Ich wünschte, ich könnte mehr Wert auf meine Noten legen, aber es scheint, dass ich an einem bestimmten Punkt in meinem Leben entschieden habe, dass sie nicht mehr so wichtig sind.	Ich wünschte, ich könnte mir mehr aus Noten machen, aber scheinbar habe ich an einem gewissen Punkt in meinem Leben entschieden, dass es nicht mehr so wichtig sei.	I wish I could place more value on my grades, but it seems that at a certain point in my life, I decided that they are not so important anymore.	I wish I could place more value on my grades, but it seems that at a certain point in my life, I decided that they are not so important anymore.	YES	YES
1623	n	The mandatory character of schooling is rarely analyzed in the multitude of works dedicated to the study of the various ways to develop within children the desire to learn.	Der verpflichtende Charakter der Schulausbildung wird selten in der Vielzahl von Arbeiten analysiert, die der Erforschung der verschiedenen Wege gewidmet sind, bei Kindern den Wunsch zu lernen zu entwickeln.	Der verpflichtende Charakter der Schulausbildung wird selten in der Vielzahl von Arbeiten analysiert, die der Untersuchung der verschiedenen Wege gewidmet sind, um bei Kindern den Wunsch zu lernen zu entwickeln.	Die Verpflichtung zum Schulbesuch wird selten analysiert in der Vielzahl der Werke, die den mannigfaltigen Arten gewidmet sind, bei Kindern den Wunsch zu lernen zu entwickeln.	The mandatory nature of school education is rarely analyzed in the multitude of studies dedicated to exploring the various ways to develop a desire to learn in children.	The mandatory nature of school education is rarely analyzed in the multitude of studies dedicated to exploring the various ways to develop a desire to learn in children.	YES	YES
1684	n	If you don't want to put on sunscreen, that's your problem. Just don't come complaining to me when you get a sunburn.	Wenn du keine Sonnencreme auftragen willst, ist das dein Problem. Beschwere dich aber nicht bei mir, wenn du einen Sonnenbrand bekommst.	Wenn du keine Sonnencreme auftragen willst, ist das dein Problem. Beschwere dich einfach nicht bei mir, wenn du einen Sonnenbrand bekommst.	Wenn du dich nicht mit Sonnencreme eincremen willst, ist das deine Sache. Aber beschwer' dich später nicht bei mir, wenn du Sonnenbrand hast.	If you don't want to apply sunscreen, that's your problem. Just don't complain to me if you get sunburned.	If you don't want to apply sunscreen, that's your problem. Just don't complain to me if you get sunburned.	YES	YES
1695	n	Mathematics is the part of science you could continue to do if you woke up tomorrow and discovered the universe was gone.	Mathematik ist der Teil der Wissenschaft, den du weiterhin betreiben könntest, wenn du morgen aufwachen würdest und entdecken würdest, dass das Universum verschwunden ist.	Mathematik ist der Teil der Wissenschaft, den Sie weiterhin betreiben könnten, wenn Sie morgen aufwachen und entdecken, dass das Universum verschwunden ist.	Die Mathematik ist der Teil der Wissenschaft, den man weiter betreiben könnte, wenn man morgen aufwachen würde und entdecken würde, dass das Universum weg ist.	Mathematics is the part of science that you could continue to pursue if you woke up tomorrow and discovered that the universe had disappeared.	Mathematics is the part of science that you could continue to pursue if you woke up tomorrow and discovered that the universe had disappeared.	YES	YES
1725	n	If you're tired, why don't you go to sleep? "Because if I go to sleep now I will wake up too early."	Wenn du müde bist, warum gehst du dann nicht schlafen? Weil ich, wenn ich jetzt schlafen gehe, zu früh aufwachen werde.	Wenn du müde bist, warum gehst du nicht schlafen? Weil ich, wenn ich jetzt schlafe, zu früh aufwachen werde.	Wenn du müde bist, wieso gehst du nicht schlafen? "Weil ich zu früh aufwachen werde, wenn ich jetzt schlafen gehe."	If you're tired, why don't you go to sleep? Because if I sleep now, I will wake up too early.	If you're tired, why don't you go to sleep? Because if I sleep now, I will wake up too early.	YES	YES
1728	e	When the body is touched, receptors in the skin send messages to the brain causing the release of chemicals such as endorphins.	Wenn der Körper berührt wird, senden Rezeptoren in der Haut Nachrichten an das Gehirn, was zur Freisetzung von Chemikalien wie Endorphinen führt.	Wenn der Körper berührt wird, senden Rezeptoren in der Haut Nachrichten an das Gehirn, was zur Freisetzung von Chemikalien wie Endorphinen führt.	Wenn der Körper berührt wird, schicken Rezeptoren in der Haut Nachrichten zum Gehirn und verursachen die Ausschüttung von chemischen Stoffen wie Endorphinen.	When the body is touched, receptors in the skin send messages to the brain, leading to the release of chemicals such as endorphins.	When the body is touched, receptors in the skin send messages to the brain, leading to the release of chemicals such as endorphins.	YES	YES
1735	e	The French government has launched an online game that challenges taxpayers to balance the national budget.	Die französische Regierung hat ein Online-Spiel gestartet, das die Steuerzahler herausfordert, den nationalen Haushalt auszugleichen.	Die französische Regierung hat ein Online-Spiel gestartet, das die Steuerzahler herausfordert, den nationalen Haushalt auszugleichen.	Die französische Regierung hat ein Online-Spiel auf den Markt gebracht, das Steuerzahler auffordert, den Staatshaushalt auszugleichen.	The French government has launched an online game that challenges taxpayers to balance the national budget.	The French government has launched an online game that challenges taxpayers to balance the national budget.	YES	YES
1794	n	Mathematicians are like French people: whatever you tell them they translate it into their own language and turn it into something totally different.	Mathematiker sind wie Franzosen: Was auch immer Sie ihnen sagen, sie übersetzen es in ihre eigene Sprache und verwandeln es in etwas völlig anderes.	Mathematiker sind wie Franzosen: Was auch immer Sie ihnen erzählen, sie übersetzen es in ihre eigene Sprache und verwandeln es in etwas völlig anderes.	Die Mathematiker sind eine Art Franzosen: redet man zu ihnen, so übersetzen sie es in ihre Sprache, und dann ist es alsobald ganz etwas anders.	Mathematicians are like the French: whatever you tell them, they translate it into their own language and turn it into something completely different.	Mathematicians are like the French: whatever you tell them, they translate it into their own language and turn it into something completely different.	YES	YES
1795	n	An expert is someone who knows some of the worst mistakes that can be made in his field, and how to avoid them.	Ein Experte ist jemand, der einige der schlimmsten Fehler kennt, die in seinem Fachgebiet gemacht werden können, und weiß, wie man sie vermeidet.	Ein Experte ist jemand, der einige der schlimmsten Fehler kennt, die in seinem Bereich gemacht werden können, und wie man sie vermeidet.	Ein Experte ist jemand, der die schlimmsten Fehler kennt, die in seinem Gebiet gemacht werden können und weiß, wie man sie vermeidet.	An expert is someone who knows some of the worst mistakes that can be made in his field, and how to avoid them.	An expert is someone who knows some of the worst mistakes that can be made in his field, and how to avoid them.	YES	YES
