347777	n	What began 21 months ago in the depths of winter cannot end on this autumn night. This victory alone is not the change we seek. It is only the chance for us to make that change. And that cannot happen if we go back to the way things were. It can't happen without you, without a new spirit of service, a new spirit of sacrifice. So let us summon a new spirit of patriotism, of responsibility, where each of us resolves to pitch in and work harder and look after not only ourselves but each other.	Was vor 21 Monaten in der Tiefe des Winters begann, kann nicht in dieser Herbstnacht enden. Dieser Sieg allein ist nicht die Veränderung, die wir suchen. Es ist nur die Chance für uns, diese Veränderung herbeizuführen. Und das kann nicht geschehen, wenn wir zu dem zurückkehren, wie die Dinge waren. Es kann nicht ohne dich geschehen, ohne einen neuen Geist des Dienens, einen neuen Geist des Opfers. Lassen Sie uns also einen neuen Geist des Patriotismus, der Verantwortung beschwören, in dem jeder von uns sich dazu entschließt, mit anzupacken und härter zu arbeiten und nicht nur auf uns selbst, sondern auch aufeinander aufzupassen.	Was vor 21 Monaten in der Tiefe des Winters begann, kann nicht in dieser Herbstnacht enden. Dieser Sieg allein ist nicht die Veränderung, die wir suchen. Es ist nur die Chance für uns, diese Veränderung herbeizuführen. Und das kann nicht geschehen, wenn wir zu dem zurückkehren, wie die Dinge waren. Es kann nicht ohne Sie geschehen, ohne einen neuen Geist des Dienstes, einen neuen Geist des Opfers. Lassen Sie uns also einen neuen Geist des Patriotismus, der Verantwortung beschwören, in dem jeder von uns sich dazu entschließt, mit anzupacken und härter zu arbeiten und nicht nur auf uns selbst, sondern auch aufeinander aufzupassen.		What began 21 months ago in the depths of winter cannot end on this autumn night. This victory alone is not the change we seek. It is only the chance for us to bring about that change. And that cannot happen if we return to the way things were. It cannot happen without you, without a new spirit of service, a new spirit of sacrifice. So let us summon a new spirit of patriotism, of responsibility, where each of us resolves to pitch in and work harder and look after not only ourselves, but each other.	What began 21 months ago in the depths of winter cannot end on this autumn night. This victory alone is not the change we seek. It is only the chance for us to bring about that change. And that cannot happen if we return to the way things were. It cannot happen without you, without a new spirit of service, a new spirit of sacrifice. So let us summon a new spirit of patriotism, of responsibility, where each of us resolves to pitch in and work harder and look after not only ourselves, but each other.		YES
347780	n	Let's remember that it was a man from this state who first carried the banner of the Republican Party to the White House, a party founded on the values of self-reliance and individual liberty and national unity. Those are values that we all share. And while the Democratic Party has won a great victory tonight, we do so with a measure of humility and determination to heal the divides that have held back our progress.	Lassen Sie uns daran erinnern, dass es ein Mann aus diesem Bundesland war, der als Erster die Fahne der Republikanischen Partei ins Weiße Haus trug, eine Partei, die auf den Werten der Selbstständigkeit, der individuellen Freiheit und der nationalen Einheit gegründet wurde. Das sind Werte, die wir alle teilen. Und obwohl die Demokratische Partei heute Abend einen großen Sieg errungen hat, tun wir dies mit einer gewissen Demut und Entschlossenheit, die Spaltungen zu heilen, die unseren Fortschritt behindert haben.	Lassen Sie uns daran erinnern, dass es ein Mann aus diesem Staat war, der das Banner der Republikanischen Partei erstmals ins Weiße Haus trug, eine Partei, die auf den Werten von Selbstständigkeit, individueller Freiheit und nationaler Einheit gegründet wurde. Das sind Werte, die wir alle teilen. Und obwohl die Demokratische Partei heute Abend einen großen Sieg errungen hat, tun wir dies mit einem Maß an Demut und Entschlossenheit, die Spaltungen zu heilen, die unseren Fortschritt behindert haben.					YES
425074	n	I personally believe that U.S. Americans are unable to do so because, uh, some people out there in our nation don't have maps and, uh, I believe that our, uh, education like such as in South Africa and, uh, the Iraq, everywhere like such as, and, I believe that they should, our education over here in the U.S. should help the U.S., uh, or, uh, should help South Africa and should help the Iraq and the Asian countries, so we will be able to build up our future, for our children.	Ich persönlich glaube, dass US-Amerikaner dazu nicht in der Lage sind, weil, äh, einige Leute in unserem Land keine Karten haben und, äh, ich glaube, dass unsere, äh, Bildung wie zum Beispiel in Südafrika und, äh, dem Irak, überall wie zum Beispiel, und, ich glaube, dass sie sollten, unsere Bildung hier in den USA sollte den USA, äh, oder, äh, sollte Südafrika helfen und sollte dem Irak und den asiatischen Ländern helfen, damit wir in der Lage sein werden, unsere Zukunft für unsere Kinder aufzubauen.	Ich persönlich glaube, dass US-Amerikaner dazu nicht in der Lage sind, weil, äh, einige Leute in unserem Land keine Karten haben und, äh, ich glaube, dass unsere, äh, Bildung wie zum Beispiel in Südafrika und, äh, dem Irak, überall wie zum Beispiel, und, ich glaube, dass sie sollten, unsere Bildung hier in den USA sollte den USA, äh, oder, äh, sollte Südafrika helfen und sollte dem Irak und den asiatischen Ländern helfen, damit wir in der Lage sein werden, unsere Zukunft für unsere Kinder aufzubauen.					YES
535523	n	Chokichi keenly felt that people, as they get older, forget entirely about the worries that only young people know about and that they themselves experienced in their youth; and that they nonchalantly take this convenient disposition where they judge harshly the circumstances of the young persons born of the next generation. He felt that there was truly an irreconcilable gap between the old and the young.	Chokichi spürte intensiv, dass Menschen, wenn sie älter werden, völlig die Sorgen vergessen, die nur junge Menschen kennen und die sie selbst in ihrer Jugend erlebt haben; und dass sie unbeschwert diese bequeme Haltung einnehmen, in der sie die Umstände der jungen Menschen der nächsten Generation hart beurteilen. Er spürte, dass es wirklich eine unversöhnliche Kluft zwischen Alt und Jung gab.	Chokichi spürte intensiv, dass Menschen, wenn sie älter werden, völlig die Sorgen vergessen, die nur junge Leute kennen und die sie selbst in ihrer Jugend erlebt haben; und dass sie nonchalant diese bequeme Haltung einnehmen, in der sie die Umstände der jungen Menschen der nächsten Generation hart beurteilen. Er fühlte, dass es wirklich eine unversöhnliche Kluft zwischen Alt und Jung gab.					YES
552745	n	The Germans have an inhuman way of cutting up their verbs. Now a verb has a hard time enough of it in this world when it's all together. It's downright inhuman to split it up. But that's just what those Germans do. They take part of a verb and put it down here, like a stake, and they take the other part of it and put it away over yonder like another stake, and between these two limits they just shovel in German.	Die Deutschen haben eine unmenschliche Art, ihre Verben zu zerteilen. Ein Verb hat es in dieser Welt schon schwer genug, wenn es ganz ist. Es ist geradezu unmenschlich, es zu spalten. Aber genau das tun diese Deutschen. Sie nehmen einen Teil eines Verbs und setzen es hier ab, wie einen Pfahl, und sie nehmen den anderen Teil und setzen ihn weit drüben ab, wie einen anderen Pfahl, und zwischen diesen beiden Grenzen schaufeln sie einfach Deutsch hinein.	Die Deutschen haben eine unmenschliche Art, ihre Verben zu zerteilen. Ein Verb hat es in dieser Welt schon schwer genug, wenn es ganz ist. Es ist geradezu unmenschlich, es zu spalten. Aber genau das tun diese Deutschen. Sie nehmen einen Teil eines Verbs und setzen ihn hier unten ab, wie einen Pfahl, und sie nehmen den anderen Teil und setzen ihn weit drüben ab, wie einen anderen Pfahl, und zwischen diesen beiden Grenzen schaufeln sie einfach Deutsch hinein.	Die Deutschen haben eine unmenschliche Art und Weise, ihre Verben zu zerschneiden. Ein Verb hat es nun ohnehin schon hart genug auf dieser Welt, wenn es vollständig ist. Es ist schlichtweg unmenschlich es zu zerteilen. Aber genau das ist es, was die Deutschen tun. Sie nehmen einen Teil eines Verbs und setzen ihn hier hin, wie einen Wetteinsatz, und nehmen dann den anderen Teil und setzen ihn da drüben hin, wie einen anderen Einsatz, und zwischen diese beiden Grenzen schaufeln sie einfach Deutsch.				YES
597274	n	It is sickness to be obsessed with winning, it is sickness to be obsessed with using the martial arts, and it is sickness to be obsessed with putting forth all one has learned. It is sickness to be obsessed with offense, and it is also sickness to be obsessed with defense. It is also sickness to be obsessed with getting rid of sickness. To fix the mind obsessively on anything is considered sickness.	Es ist eine Krankheit, besessen davon zu sein, zu gewinnen, es ist eine Krankheit, besessen davon zu sein, die Kampfkünste zu nutzen, und es ist eine Krankheit, besessen davon zu sein, alles, was man gelernt hat, vorzubringen. Es ist eine Krankheit, besessen von Angriff zu sein, und es ist auch eine Krankheit, besessen von Verteidigung zu sein. Es ist auch eine Krankheit, besessen davon zu sein, die Krankheit loszuwerden. Besessen auf irgendetwas zu fixieren, wird als Krankheit betrachtet.	Es ist krankhaft, besessen vom Gewinnen zu sein, es ist krankhaft, besessen davon zu sein, die Kampfkünste zu nutzen, und es ist krankhaft, besessen davon zu sein, alles Gelernte einzusetzen. Es ist krankhaft, besessen von Angriff zu sein, und es ist auch krankhaft, besessen von Verteidigung zu sein. Es ist auch krankhaft, besessen davon zu sein, Krankheit loszuwerden. Besessen auf irgendetwas zu fixieren, gilt als krankhaft.					YES
607048	n	Forty-four Americans have now taken the presidential oath. The words have been spoken during rising tides of prosperity and the still waters of peace. Yet, every so often, the oath is taken amidst gathering clouds and raging storms. At these moments, America has carried on not simply because of the skill or vision of those in high office, but because We the People have remained faithful to the ideals of our forebearers, and true to our founding documents.	Vierundvierzig Amerikaner haben nun den Präsidenteneid abgelegt. Die Worte wurden gesprochen in Zeiten steigenden Wohlstands und der stillen Gewässer des Friedens. Doch hin und wieder wird der Eid abgelegt inmitten aufziehender Wolken und tobender Stürme. In diesen Momenten hat Amerika nicht einfach wegen der Fähigkeiten oder der Vision derer in hohen Ämtern Bestand, sondern weil wir, das Volk, den Idealen unserer Vorfahren treu geblieben sind und unseren Gründungsdokumenten treu geblieben sind.	Vierundvierzig Amerikaner haben nun den Präsidenteneid abgelegt. Die Worte wurden gesprochen in Zeiten steigenden Wohlstands und der stillen Gewässer des Friedens. Doch hin und wieder wird der Eid abgelegt inmitten aufziehender Wolken und tobender Stürme. In diesen Momenten hat Amerika nicht einfach wegen der Fähigkeiten oder Visionen derer in hohen Ämtern weitergemacht, sondern weil wir, das Volk, den Idealen unserer Vorfahren treu geblieben sind und unseren Gründungsdokumenten treu geblieben sind.					YES
704834	n	The French language, by the way, is a clear stream that affected writers have never been, and will never be able to ripple. Each century has thrown in this limpid current its fashions, its pretentious archaisms and its preciousness, without anything surfacing from those useless attempts, those powerless efforts. The nature of this language is to be clear, logical and nervous. It won't let itself be weakened, obscured or corrupted.	Die französische Sprache ist übrigens ein klarer Strom, den affektierte Schriftsteller nie beeinflussen konnten und nie beeinflussen werden können. Jedes Jahrhundert hat in diesen klaren Strom seine Moden, seine prätentiösen Archaismen und seine Kostbarkeiten geworfen, ohne dass etwas aus diesen nutzlosen Versuchen, diesen machtlosen Anstrengungen, auftaucht. Die Natur dieser Sprache ist es, klar, logisch und nervös zu sein. Sie lässt sich nicht schwächen, verdunkeln oder korrumpieren.	Die französische Sprache ist übrigens ein klarer Strom, den betroffene Schriftsteller nie in Unruhe versetzen konnten und nie in der Lage sein werden, ihn zu kräuseln. Jedes Jahrhundert hat in diese klare Strömung seine Moden, seine prätentiösen Archaismen und seine Kostbarkeiten geworfen, ohne dass etwas aus diesen nutzlosen Versuchen, diesen machtlosen Anstrengungen auftaucht. Die Natur dieser Sprache ist es, klar, logisch und nervös zu sein. Sie lässt sich nicht schwächen, verdunkeln oder korrumpieren.					YES
1091034	n	Should any political party attempt to abolish social security, unemployment insurance, and eliminate labor laws and farm programs, you would not hear of that party again in our political history. There is a tiny splinter group, of course, that believes you can do these things. Among them are H. L. Hunt (you possibly know his background), a few other Texas oil millionaires, and an occasional politician or business man from other areas. Their number is negligible and they are stupid.	Sollte irgendeine politische Partei versuchen, die Sozialversicherung abzuschaffen, die Arbeitslosenversicherung zu beseitigen und Arbeitsgesetze und Agrarprogramme zu eliminieren, würden Sie von dieser Partei in unserer politischen Geschichte nicht mehr hören. Es gibt natürlich eine winzige Splittergruppe, die glaubt, dass man diese Dinge tun kann. Zu ihnen gehören H. L. Hunt (Sie kennen möglicherweise seinen Hintergrund), ein paar andere texanische Ölmillionäre und gelegentlich ein Politiker oder Geschäftsmann aus anderen Bereichen. Ihre Zahl ist vernachlässigbar und sie sind dumm.	Sollte irgendeine politische Partei versuchen, die Sozialversicherung, die Arbeitslosenversicherung abzuschaffen und Arbeitsgesetze und Agrarprogramme zu beseitigen, würden Sie von dieser Partei in unserer politischen Geschichte nicht mehr hören. Es gibt natürlich eine winzige Splittergruppe, die glaubt, dass man diese Dinge tun kann. Zu ihnen gehören H. L. Hunt (Sie kennen möglicherweise seinen Hintergrund), einige andere texanische Ölmillionäre und gelegentlich ein Politiker oder Geschäftsmann aus anderen Gebieten. Ihre Zahl ist vernachlässigbar und sie sind dumm.					YES
1354965	n	Forty-four US Americans have now taken the presidential oath. The words have been spoken during rising tides of prosperity and the still waters of peace. Yet, every so often, the oath is taken amidst gathering clouds and raging storms. At these moments, America has carried on not simply because of the skill or vision of those in high office, but because We the People have remained faithful to the ideals of our forebearers, and true to our founding documents.	Vierundvierzig US-Amerikaner haben nun den Präsidenteneid abgelegt. Die Worte wurden gesprochen in Zeiten steigender Wohlstandsfluten und der stillen Gewässer des Friedens. Doch hin und wieder wird der Eid abgelegt inmitten aufziehender Wolken und tobender Stürme. In diesen Momenten hat Amerika nicht einfach wegen der Fähigkeiten oder der Vision derer in hohen Ämtern Bestand, sondern weil wir, das Volk, den Idealen unserer Vorfahren treu geblieben sind und unseren Gründungsdokumenten treu geblieben sind.	Vierundvierzig US-Amerikaner haben nun den Präsidenteneid abgelegt. Die Worte wurden gesprochen in Zeiten steigenden Wohlstands und der stillen Gewässer des Friedens. Doch hin und wieder wird der Eid abgelegt inmitten aufziehender Wolken und tobender Stürme. In diesen Momenten hat Amerika nicht einfach wegen der Fähigkeiten oder Visionen derer in hohen Ämtern weitergemacht, sondern weil wir, das Volk, den Idealen unserer Vorfahren treu geblieben sind und unseren Gründungsdokumenten treu geblieben sind.					YES
