1276	eng	Let's try something.	CK	0000-00-00 00:00:00	2012-02-05 11:38:18
1277	eng	I have to go to sleep.	vinhan	\N	2009-11-25 23:20:59
1282	eng	Muiriel is 20 now.	LeeSooHa	\N	2015-09-24 18:12:33
1283	eng	The password is "Muiriel".	wuiwie	\N	2019-03-24 11:45:36
1284	eng	I will be back soon.	brauliobezerra	\N	2010-05-30 13:49:32
1286	eng	I'm at a loss for words.	wakaran	\N	2009-07-29 01:03:24
1287	eng	This is never going to end.	CK	\N	2010-10-08 09:01:29
1289	eng	That was an evil bunny.	djinni74	\N	2010-10-11 03:28:00
1290	eng	I was in the mountains.	CK	\N	2010-10-08 09:01:35
1291	eng	Is it a recent picture?	Swift	\N	2010-09-02 13:32:41
1296	eng	You are in my way.	CK	\N	2010-06-16 18:01:08
1298	eng	This will cost €30.	djinni74	\N	2010-12-15 05:19:01
1299	eng	I make €100 a day.	brauliobezerra	\N	2010-08-21 15:37:16
1302	eng	That won't happen.	human600	\N	2010-05-25 23:19:38
1308	eng	I miss you.	brauliobezerra	\N	2010-06-02 01:40:48
1311	eng	You should sleep.	CK	\N	2010-10-13 02:56:52
1312	eng	I'm going to go.	axcutul	\N	2009-07-13 22:26:22
1314	eng	You're so impatient with me.	CM	\N	2012-02-02 04:21:25
1317	eng	I never liked biology.	brauliobezerra	\N	2010-06-02 02:33:07
1320	eng	It is unfortunately true.	Zifre	\N	2010-11-14 22:14:52
1322	eng	Most people think I'm crazy.	CK	\N	2010-06-17 06:39:09
1323	eng	No I'm not; you are!	Zifre	\N	2011-01-23 01:11:15
1324	eng	That's MY line!	human600	\N	2010-06-19 10:09:24
1325	eng	He's kicking me!	Zifre	\N	2010-11-14 22:19:12
1326	eng	Are you sure?	brauliobezerra	\N	2010-06-02 01:36:02
1327	eng	Then there is a problem...	Zifre	\N	2011-01-23 01:11:00
1328	eng	Oh, there's a butterfly!	brauliobezerra	\N	2010-06-02 01:47:48
1329	eng	Hurry up.	brauliobezerra	\N	2013-06-10 11:30:54
1330	eng	It doesn't surprise me.	CK	\N	2010-10-14 17:22:52
1333	eng	It depends on the context.	CK	\N	2010-10-08 09:01:46
1334	eng	Are you freaking kidding me?!	AlanF_US	\N	2013-11-25 03:50:02
1339	eng	I'm so fat.	Zifre	\N	2011-01-23 01:09:32
1340	eng	So what?	Sbgodin	\N	2013-11-30 11:34:52
1341	eng	I'm gonna shoot him.	human600	\N	2010-01-18 19:51:14
1343	eng	I'm just saying!	Zifre	\N	2010-11-14 22:26:44
1348	eng	That's because you're a girl.	CK	\N	2010-10-08 09:02:29
1352	eng	I don't intend to be selfish.	Zifre	\N	2011-01-23 01:10:14
1358	eng	One can always find time.	brauliobezerra	\N	2010-06-15 15:26:27
1361	eng	When I woke up, I was sad.	100nosewiggles	\N	2019-03-23 21:54:33
1368	eng	Why do you ask?	CK	\N	2010-10-16 16:40:46
1373	eng	How long did you stay?	CK	\N	2010-10-08 09:02:25
1379	eng	That is intriguing.	CK	\N	2010-10-13 01:07:45
1385	eng	This is not important.	CK	\N	2010-07-22 11:07:31
1386	eng	I didn't like it.	CK	\N	2010-10-07 08:00:47
1391	eng	You can do it.	brauliobezerra	\N	2012-07-06 21:07:37
1393	eng	I wish I could go to Japan.	CK	\N	2010-04-24 18:54:55
1395	eng	I have to go to bed.	brauliobezerra	\N	2010-06-02 03:01:56
1398	eng	It may freeze next week.	CK	\N	2010-10-08 09:02:20
1402	eng	That wasn't my intention.	CK	\N	2010-10-16 05:07:54
1403	eng	Thanks for your explanation.	CK	\N	2010-10-16 02:53:36
1408	eng	I don't know what you mean.	CK	\N	2010-10-07 09:12:04
1411	eng	Uh, now it's really weird...	Sbgodin	\N	2013-11-30 11:35:16
1416	eng	You're really not stupid.	Zifre	\N	2011-01-23 01:11:50
1421	eng	No one will know.	CK	\N	2010-10-15 11:28:28
1423	eng	It seems interesting to me.	CK	\N	2013-11-24 10:04:00
1425	eng	I like candlelight.	CK	\N	2010-10-09 06:57:15
1426	eng	What did you answer?	Zifre	\N	2012-01-24 03:26:05
1431	eng	Where is the problem?	Zifre	\N	2010-11-14 22:36:23
1432	eng	I can only wait.	brauliobezerra	\N	2010-06-02 02:58:35
1434	eng	I love you.	awael58	0000-00-00 00:00:00	2013-05-15 10:29:33
1435	eng	I don't like you anymore.	CK	\N	2010-10-07 09:36:19
1436	eng	I am curious.	brauliobezerra	\N	2010-06-02 02:57:58
1437	eng	Congratulations!	CK	\N	2010-10-11 05:45:18
1439	eng	Why don't you come visit us?	LittleBoy	\N	2012-01-28 22:05:40
1442	eng	I shouldn't have logged off.	CK	\N	2010-10-08 09:02:13
1445	eng	I hate chemistry.	CK	\N	2010-10-11 16:22:13
1446	eng	I didn't want this to happen.	CK	\N	2010-04-24 19:10:53
1449	eng	What other options do I have?	Zifre	\N	2013-07-10 10:15:20
1450	eng	I am not much of a traveller.	bmorsello	\N	2010-06-15 04:53:48
1451	eng	I have nothing better to do.	akaihen	\N	2010-07-29 00:41:27
1452	eng	I can't explain it either.	CK	\N	2010-10-07 06:39:03
1461	eng	Don't underestimate my power.	CK	\N	2012-02-02 04:21:33
1465	eng	Therein lies the problem.	100nosewiggles	\N	2019-03-23 21:53:25
1471	eng	Foreign people intrigue me.	LittleBoy	\N	2012-01-28 22:05:32
1473	eng	What keeps you up so late?	LittleBoy	\N	2012-01-28 22:05:35
1476	eng	You're not fast enough.	CK	\N	2012-02-02 18:01:26
1478	eng	Bearing can be unbearable.	wuiwie	\N	2019-03-24 11:46:12
1482	eng	I don't speak Japanese.	CK	0000-00-00 00:00:00	0000-00-00 00:00:00
1483	eng	This is a pun.	CM	\N	2012-02-02 04:18:12
1484	eng	Nobody understands me.	CK	\N	2010-10-12 15:22:07
1499	eng	Are you referring to me?	CK	\N	2010-10-08 09:02:05
1501	eng	It can't be!	CK	\N	2010-10-11 17:32:58
1510	eng	Uh... How's that working?	AlanF_US	\N	2013-11-25 04:12:37
1512	eng	"Trust me," he said.	brauliobezerra	\N	2010-06-15 16:05:01
1520	eng	"She likes music." "So do I."	CK	\N	2010-12-18 05:51:29
1521	eng	Please don't cry.	CK	0000-00-00 00:00:00	0000-00-00 00:00:00
